,alpha,beta,l1,l2,cum_gain
449,1.0,0.05,0.5,2.0,1.4179797726827046
450,1.0,0.05,1.0,0.05,1.3023275269978776
451,1.0,0.05,1.0,0.1,1.4358665816211666
452,1.0,0.05,1.0,0.5,0.9276532612189313
453,1.0,0.05,1.0,1.0,1.0086496665715659
454,1.0,0.05,1.0,1.5,1.5190039185518696
455,1.0,0.05,1.0,2.0,1.6140764753650865
456,1.0,0.05,1.5,0.05,1.4097309931765547
457,1.0,0.05,1.5,0.1,1.2330423893878215
458,1.0,0.05,1.5,0.5,1.02898609398367
459,1.0,0.05,1.5,1.0,1.4025769026096302
460,1.0,0.05,1.5,1.5,1.4967571511733806
461,1.0,0.05,1.5,2.0,1.4404518524666259
462,1.0,0.05,2.0,0.05,1.0435785429349373
463,1.0,0.05,2.0,0.1,0.9625037362449115
464,1.0,0.05,2.0,0.5,0.9499218359612035
465,1.0,0.05,2.0,1.0,1.2724193558691528
466,1.0,0.05,2.0,1.5,1.3747746960777596
467,1.0,0.05,2.0,2.0,1.5091380701972676
468,1.0,0.1,0.05,0.05,0.6732526261770039
469,1.0,0.1,0.05,0.1,0.5427471037617235
470,1.0,0.1,0.05,0.5,0.8262291848267458
471,1.0,0.1,0.05,1.0,0.5547842150733366
472,1.0,0.1,0.05,1.5,0.6729809431098022
473,1.0,0.1,0.05,2.0,1.4376832241150754
474,1.0,0.1,0.1,0.05,0.5137707340294136
475,1.0,0.1,0.1,0.1,0.46611789587248703
476,1.0,0.1,0.1,0.5,0.7440695928540784
477,1.0,0.1,0.1,1.0,0.44350565384959517
478,1.0,0.1,0.1,1.5,0.7310597402973449
479,1.0,0.1,0.1,2.0,1.4376832241150754
480,1.0,0.1,0.5,0.05,1.2959374700705522
481,1.0,0.1,0.5,0.1,1.5265647666071147
482,1.0,0.1,0.5,0.5,0.9805874839758635
483,1.0,0.1,0.5,1.0,0.7381856122672212
484,1.0,0.1,0.5,1.5,1.4260422088121878
485,1.0,0.1,0.5,2.0,1.4179797726827046
486,1.0,0.1,1.0,0.05,1.4358665816211666
487,1.0,0.1,1.0,0.1,1.3711632079148628
488,1.0,0.1,1.0,0.5,0.9768891184003707
489,1.0,0.1,1.0,1.0,1.045382951734201
490,1.0,0.1,1.0,1.5,1.5190039185518696
491,1.0,0.1,1.0,2.0,1.6140764753650865
492,1.0,0.1,1.5,0.05,1.2330423893878215
493,1.0,0.1,1.5,0.1,1.3661727906179761
494,1.0,0.1,1.5,0.5,0.9513354485939158
495,1.0,0.1,1.5,1.0,1.4378825533669095
496,1.0,0.1,1.5,1.5,1.465754057050614
497,1.0,0.1,1.5,2.0,1.4404518524666259
498,1.0,0.1,2.0,0.05,0.9625037362449115
499,1.0,0.1,2.0,0.1,0.9626544668389742
500,1.0,0.1,2.0,0.5,1.0142734358800098
501,1.0,0.1,2.0,1.0,1.2792436623563972
502,1.0,0.1,2.0,1.5,1.3420385817987805
503,1.0,0.1,2.0,2.0,1.5091380701972676
504,1.0,0.5,0.05,0.05,0.8784468920898587
505,1.0,0.5,0.05,0.1,0.8262291848267458
506,1.0,0.5,0.05,0.5,0.4659705891180593
507,1.0,0.5,0.05,1.0,0.6591892950876309
508,1.0,0.5,0.05,1.5,1.323979200312304
509,1.0,0.5,0.05,2.0,1.4273972253333906
510,1.0,0.5,0.1,0.05,0.5964995075725622
511,1.0,0.5,0.1,0.1,0.7440695928540784
512,1.0,0.5,0.1,0.5,0.419115371210894
513,1.0,0.5,0.1,1.0,0.6308978210246055
